
2025/03/10 (18:24:05) | ===> btop++ v.1.4.0
2025/03/10 (18:24:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (18:28:08) | ===> btop++ v.1.4.0
2025/03/10 (18:28:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (18:28:56) | ===> btop++ v.1.4.0
2025/03/10 (18:28:56) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (18:29:40) | ===> btop++ v.1.4.0
2025/03/10 (18:29:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/10 (18:30:33) | ===> btop++ v.1.4.0
2025/03/10 (18:30:33) | WARNING: Failed to set locale UTF-8 continuing anyway.
